poll_id;pollster_id;pollster;pollster_rating_id;fte_grade;methodology;transparency_score;state;start_date;end_date;question_id;sample_size;created_at;race_id;party;answer;candidate_id;candidate_name;percent
85435;1697;Bullfinch;692;;Online Panel;4;Arizona;12/14/23;12/18/23;189168;600;12/18/23 20:36;8759;DEM;Biden;19368;Joe Biden;40
85435;1697;Bullfinch;692;;Online Panel;4;Arizona;12/14/23;12/18/23;189168;600;12/18/23 20:36;8759;REP;Trump;16651;Donald Trump;50
85436;1697;Bullfinch;692;;Online Panel;4;Pennsylvania;12/14/23;12/18/23;189169;600;12/18/23 20:36;8872;DEM;Biden;19368;Joe Biden;45
85436;1697;Bullfinch;692;;Online Panel;4;Pennsylvania;12/14/23;12/18/23;189169;600;12/18/23 20:36;8872;REP;Trump;16651;Donald Trump;45
85440;1189;Morning Consult;218;B-;Online Panel;3;;12/15/23;12/17/23;189205;5618;12/19/23 09:32;8914;DEM;Biden;19368;Joe Biden;42
85440;1189;Morning Consult;218;B-;Online Panel;3;;12/15/23;12/17/23;189205;5618;12/19/23 09:32;8914;REP;Trump;16651;Donald Trump;44
85441;1189;Morning Consult;218;B-;Online Panel;3;;12/14/23;12/16/23;189206;4000;12/19/23 09:32;8914;DEM;Biden;19368;Joe Biden;43
85441;1189;Morning Consult;218;B-;Online Panel;3;;12/14/23;12/16/23;189206;4000;12/19/23 09:32;8914;REP;Trump;16651;Donald Trump;43
85442;1189;Morning Consult;218;B-;Online Panel;3;;12/13/23;12/15/23;189207;4000;12/19/23 09:32;8914;DEM;Biden;19368;Joe Biden;43
85442;1189;Morning Consult;218;B-;Online Panel;3;;12/13/23;12/15/23;189207;4000;12/19/23 09:32;8914;REP;Trump;16651;Donald Trump;44
85408;1797;HarrisX/Harris Poll;133;B;Online Panel;7;;12/13/23;12/14/23;189030;2034;12/15/23 18:45;8914;DEM;Biden;19368;Joe Biden;47
85408;1797;HarrisX/Harris Poll;133;B;Online Panel;7;;12/13/23;12/14/23;189030;2034;12/15/23 18:45;8914;REP;Trump;16651;Donald Trump;53
85408;1797;HarrisX/Harris Poll;133;B;Online Panel;7;;12/13/23;12/14/23;189031;2034;12/15/23 18:45;8914;DEM;Biden;19368;Joe Biden;36
85408;1797;HarrisX/Harris Poll;133;B;Online Panel;7;;12/13/23;12/14/23;189031;2034;12/15/23 18:45;8914;REP;Trump;16651;Donald Trump;44
85408;1797;HarrisX/Harris Poll;133;B;Online Panel;7;;12/13/23;12/14/23;189031;2034;12/15/23 18:45;8914;IND;Kennedy;31042;Robert F. Kennedy;20
